GEO.id,ZCTA,POPULATION
8600000US56128,56128,1984
8600000US56129,56129,741
8600000US56131,56131,2293
8600000US56132,56132,540
8600000US56134,56134,462
8600000US56136,56136,1118
8600000US56137,56137,1149
8600000US56138,56138,899
8600000US56139,56139,430
8600000US56140,56140,59
8600000US56141,56141,323
8600000US56142,56142,981
8600000US56143,56143,4478
8600000US56144,56144,1143
8600000US56145,56145,622
8600000US56146,56146,40
8600000US56147,56147,192
8600000US56149,56149,1268
8600000US56150,56150,2742
8600000US56151,56151,823
8600000US56152,56152,1507
8600000US56153,56153,224
8600000US56155,56155,419
8600000US56156,56156,6066
8600000US56157,56157,788
8600000US56158,56158,434
8600000US56159,56159,2928
8600000US56160,56160,214
8600000US56161,56161,400
8600000US56162,56162,285
8600000US56164,56164,5969
8600000US56165,56165,349
8600000US56166,56166,253
8600000US56167,56167,661
8600000US56168,56168,932
8600000US56169,56169,681
8600000US56170,56170,587
8600000US56171,56171,1821
8600000US56172,56172,3164
8600000US56173,56173,424
8600000US56174,56174,357
8600000US56175,56175,3085
8600000US56176,56176,1137
8600000US56177,56177,45
8600000US56178,56178,1746
8600000US56180,56180,1408
8600000US56181,56181,1147
8600000US56183,56183,1263
8600000US56185,56185,560
8600000US56186,56186,388
8600000US56187,56187,14170
8600000US56201,56201,23173
8600000US56207,56207,251
8600000US56208,56208,2066
8600000US56209,56209,2339
8600000US56210,56210,13
8600000US56211,56211,529
8600000US56212,56212,531
8600000US56214,56214,725
8600000US56215,56215,4693
8600000US56216,56216,670
8600000US56218,56218,628
8600000US56219,56219,1082
8600000US56220,56220,3070
8600000US56221,56221,773
8600000US56222,56222,1984
8600000US56223,56223,1408
8600000US56224,56224,333
8600000US56225,56225,834
8600000US56226,56226,254
8600000US56227,56227,223
8600000US56228,56228,882
8600000US56229,56229,1871
8600000US56230,56230,854
8600000US56231,56231,390
8600000US56232,56232,2415
8600000US56235,56235,579
8600000US56236,56236,359
8600000US56237,56237,600
8600000US56239,56239,596
8600000US56240,56240,1042
8600000US56241,56241,4166
8600000US56243,56243,1725
8600000US56244,56244,1496
8600000US56245,56245,535
8600000US56248,56248,807
8600000US56249,56249,296
8600000US56251,56251,987
8600000US56252,56252,1238
8600000US56253,56253,1015
8600000US56255,56255,394
8600000US56256,56256,2581
8600000US56257,56257,508
8600000US56258,56258,15617
8600000US56260,56260,929
8600000US56262,56262,724
8600000US56263,56263,541
8600000US56264,56264,2204
8600000US56265,56265,7757
8600000US56266,56266,1628
8600000US56267,56267,6807
8600000US56270,56270,1061
8600000US56271,56271,1196
8600000US56273,56273,4797
8600000US56274,56274,177
8600000US56276,56276,298
8600000US56277,56277,3191
8600000US56278,56278,2601
8600000US56279,56279,1271
8600000US56280,56280,480
8600000US56281,56281,619
8600000US56282,56282,1510
8600000US56283,56283,6636
8600000US56284,56284,2111
8600000US56285,56285,1096
8600000US56287,56287,81
8600000US56288,56288,4696
8600000US56289,56289,634
8600000US56291,56291,501
8600000US56292,56292,636
8600000US56293,56293,1223
8600000US56294,56294,84
8600000US56295,56295,310
8600000US56296,56296,2029
8600000US56297,56297,867
8600000US56301,56301,32434
8600000US56303,56303,25984
8600000US56304,56304,16020
8600000US56307,56307,5157
8600000US56308,56308,23961
8600000US56309,56309,1185
8600000US56310,56310,5120
8600000US56311,56311,757
8600000US56312,56312,2365
8600000US56313,56313,106
8600000US56314,56314,1258
8600000US56315,56315,1591
8600000US56316,56316,1580
8600000US56318,56318,1238
8600000US56319,56319,1321
8600000US56320,56320,8080
8600000US56321,56321,1536
8600000US56323,56323,496
8600000US56324,56324,1115
8600000US56325,56325,211
8600000US56326,56326,1526
8600000US56327,56327,803
8600000US56328,56328,128
8600000US56329,56329,7367
8600000US56330,56330,1691
8600000US56331,56331,2019
8600000US56332,56332,1407
8600000US56334,56334,5497
8600000US56335,56335,199
8600000US56336,56336,1514
8600000US56338,56338,1691
8600000US56339,56339,1129
8600000US56340,56340,2288
8600000US56342,56342,2739
8600000US56343,56343,926
8600000US56345,56345,14786
8600000US56347,56347,7062
8600000US56349,56349,733
8600000US56350,56350,570
8600000US56352,56352,5868
8600000US56353,56353,8996
8600000US56354,56354,1367
8600000US56355,56355,579
8600000US56356,56356,300
8600000US56357,56357,1029
8600000US56358,56358,3256
8600000US56359,56359,3878
8600000US56360,56360,3917
8600000US56361,56361,2403
8600000US56362,56362,5844
8600000US56363,56363,155
8600000US56364,56364,5416
8600000US56367,56367,6263
8600000US56368,56368,4239
8600000US56369,56369,528
8600000US56371,56371,99
8600000US56373,56373,3051
8600000US56374,56374,9868
8600000US56375,56375,852
8600000US56376,56376,358
8600000US56377,56377,17648
8600000US56378,56378,7778
8600000US56379,56379,16163
8600000US56381,56381,2458
8600000US56382,56382,1540
8600000US56384,56384,328
8600000US56385,56385,928
8600000US56386,56386,652
8600000US56387,56387,6734
8600000US56389,56389,111
8600000US56401,56401,29439
8600000US56425,56425,7655
8600000US56431,56431,8931
8600000US56433,56433,1840
8600000US56434,56434,235
8600000US56435,56435,2372
8600000US56436,56436,67
8600000US56437,56437,1380
8600000US56438,56438,2949
8600000US56440,56440,1409
8600000US56441,56441,3596
8600000US56442,56442,2381
8600000US56443,56443,1417
8600000US56444,56444,3087
8600000US56446,56446,1597
8600000US56447,56447,1150
8600000US56448,56448,332
8600000US56449,56449,1769
8600000US56450,56450,1017
8600000US56452,56452,1755
8600000US56453,56453,871
8600000US56455,56455,1488
8600000US56456,56456,50
8600000US56458,56458,357
8600000US56461,56461,3241
8600000US56464,56464,4336
8600000US56465,56465,2062
8600000US56466,56466,3116
8600000US56467,56467,2412
8600000US56468,56468,4589
8600000US56469,56469,998
8600000US56470,56470,10334
8600000US56472,56472,7459
8600000US56473,56473,3380
8600000US56474,56474,4244
8600000US56475,56475,1655
8600000US56477,56477,2758
8600000US56479,56479,5384
8600000US56481,56481,2031
8600000US56482,56482,6666
8600000US56484,56484,3205
8600000US56501,56501,16290
8600000US56510,56510,2333
8600000US56511,56511,1878
8600000US56514,56514,3696
8600000US56515,56515,2892
8600000US56516,56516,294
8600000US56517,56517,279
8600000US56518,56518,388
8600000US56519,56519,300
8600000US56520,56520,3983
8600000US56521,56521,757
8600000US56522,56522,538
8600000US56523,56523,539
8600000US56524,56524,661
8600000US56525,56525,106
8600000US56527,56527,840
8600000US56528,56528,1673
8600000US56529,56529,4026
8600000US56531,56531,1994
8600000US56533,56533,291
8600000US56534,56534,1164
8600000US56535,56535,1363
8600000US56536,56536,482
8600000US56537,56537,18548
8600000US56540,56540,1962
8600000US56541,56541,24
8600000US56542,56542,2829
8600000US56543,56543,276
8600000US56544,56544,5294
8600000US56545,56545,682
8600000US56546,56546,346
8600000US56547,56547,2700
8600000US56548,56548,771
8600000US56549,56549,4508
8600000US56550,56550,414
8600000US56551,56551,2237
8600000US56552,56552,429
8600000US56553,56553,293
8600000US56554,56554,2709
8600000US56556,56556,1160
8600000US56557,56557,2811
8600000US56560,56560,40766
8600000US56565,56565,107
